horizon,regime,algo,fold,purge,n_train,n_test,n_would_purge,F1_4cls,Acc_dir,F1_dir,F1_UP_FORT,F1_DOWN_FORT
1,STRESS,GradientBoosting,0,True,845,115,1,0.248,0.5478,0.5377,0.2857,0.3793
1,STRESS,CatBoost,0,False,846,115,1,0.3492,0.6174,0.6108,0.5128,0.5
1,STRESS,CatBoost,0,True,845,115,1,0.2999,0.6174,0.6042,0.2353,0.4444
1,STRESS,XGBoost,1,False,1105,43,0,0.1961,0.4186,0.3978,0.4,0.3448
1,STRESS,XGBoost,1,True,1105,43,0,0.1961,0.4186,0.3978,0.4,0.3448
1,STRESS,LightGBM,1,False,1105,43,0,0.1526,0.4186,0.3854,0.2667,0.3871
1,STRESS,LightGBM,1,True,1105,43,0,0.1526,0.4186,0.3854,0.2667,0.3871
1,STRESS,RandomForest,1,False,1105,43,0,0.2344,0.5581,0.5494,0.5263,0.3448
1,STRESS,RandomForest,1,True,1105,43,0,0.2344,0.5581,0.5494,0.5263,0.3448
1,STRESS,GradientBoosting,1,False,1105,43,0,0.1783,0.3953,0.3789,0.4,0.4
1,STRESS,GradientBoosting,1,True,1105,43,0,0.1783,0.3953,0.3789,0.4,0.4
1,STRESS,CatBoost,1,False,1105,43,0,0.2168,0.4884,0.4814,0.5556,0.4
1,STRESS,CatBoost,1,True,1105,43,0,0.2168,0.4884,0.4814,0.5556,0.4
1,STRESS,XGBoost,2,False,1359,45,0,0.3697,0.6222,0.5676,0.4211,0.75
1,STRESS,XGBoost,2,True,1359,45,0,0.3697,0.6222,0.5676,0.4211,0.75
1,STRESS,LightGBM,2,False,1359,45,0,0.3473,0.6,0.5334,0.2353,0.6857
1,STRESS,LightGBM,2,True,1359,45,0,0.3473,0.6,0.5334,0.2353,0.6857
1,STRESS,RandomForest,2,False,1359,45,0,0.2518,0.5778,0.4452,0.25,0.7907
1,STRESS,RandomForest,2,True,1359,45,0,0.2518,0.5778,0.4452,0.25,0.7907
1,STRESS,GradientBoosting,2,False,1359,45,0,0.3206,0.6667,0.6184,0.4211,0.75
1,STRESS,GradientBoosting,2,True,1359,45,0,0.3206,0.6667,0.6184,0.4211,0.75
