horizon,regime,fold,N,sampler,algo,n_train,n_test,test_start,test_end,F1_4cls,Acc_dir,F1_dir,F1_UP_FORT,F1_DOWN_FORT
1,GLOBAL,1,9,SMOTEENN,XGBoost,2542,758,2010-08-17,2013-10-21,0.2333,0.5449,0.5443,0.1558,0.5468
1,GLOBAL,1,9,SMOTEENN,LightGBM,2542,758,2010-08-17,2013-10-21,0.2491,0.5303,0.5303,0.2,0.5075
1,GLOBAL,1,9,SMOTEENN,RandomForest,2542,758,2010-08-17,2013-10-21,0.3019,0.5515,0.5512,0.2731,0.5578
1,GLOBAL,1,9,SMOTEENN,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.246,0.5303,0.5296,0.1941,0.5187
1,GLOBAL,1,9,SMOTEENN,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,10,SMOTE,XGBoost,2542,758,2010-08-17,2013-10-21,0.31,0.5607,0.5554,0.2912,0.5942
1,GLOBAL,1,10,SMOTE,LightGBM,2542,758,2010-08-17,2013-10-21,0.3064,0.5435,0.5381,0.3106,0.5572
1,GLOBAL,1,10,SMOTE,RandomForest,2542,758,2010-08-17,2013-10-21,0.3295,0.5752,0.567,0.2731,0.6136
1,GLOBAL,1,10,SMOTE,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.3038,0.5422,0.5386,0.3197,0.555
1,GLOBAL,1,10,SMOTE,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,10,BorderlineSMOTE,XGBoost,2542,758,2010-08-17,2013-10-21,0.2974,0.5567,0.5504,0.2803,0.5652
1,GLOBAL,1,10,BorderlineSMOTE,LightGBM,2542,758,2010-08-17,2013-10-21,0.2949,0.5554,0.551,0.2738,0.5365
1,GLOBAL,1,10,BorderlineSMOTE,RandomForest,2542,758,2010-08-17,2013-10-21,0.3106,0.5686,0.5565,0.2101,0.6196
1,GLOBAL,1,10,BorderlineSMOTE,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.2966,0.5594,0.5544,0.2662,0.5426
1,GLOBAL,1,10,BorderlineSMOTE,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,10,ADASYN,XGBoost,2542,758,2010-08-17,2013-10-21,0.3199,0.5752,0.5527,0.3429,0.5856
1,GLOBAL,1,10,ADASYN,LightGBM,2542,758,2010-08-17,2013-10-21,0.3065,0.5594,0.5539,0.3212,0.5514
1,GLOBAL,1,10,ADASYN,RandomForest,2542,758,2010-08-17,2013-10-21,0.3167,0.562,0.5504,0.2835,0.5968
1,GLOBAL,1,10,ADASYN,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.3025,0.562,0.5405,0.3055,0.5581
1,GLOBAL,1,10,ADASYN,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,10,SMOTETomek,XGBoost,2542,758,2010-08-17,2013-10-21,0.3037,0.5541,0.5513,0.3083,0.5594
1,GLOBAL,1,10,SMOTETomek,LightGBM,2542,758,2010-08-17,2013-10-21,0.2704,0.5317,0.5257,0.2615,0.5269
1,GLOBAL,1,10,SMOTETomek,RandomForest,2542,758,2010-08-17,2013-10-21,0.3046,0.5712,0.5596,0.1818,0.6009
1,GLOBAL,1,10,SMOTETomek,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.2974,0.5462,0.5431,0.306,0.5333
1,GLOBAL,1,10,SMOTETomek,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,10,SMOTEENN,XGBoost,2542,758,2010-08-17,2013-10-21,0.2783,0.5435,0.5426,0.2119,0.5641
1,GLOBAL,1,10,SMOTEENN,LightGBM,2542,758,2010-08-17,2013-10-21,0.2964,0.5369,0.5369,0.249,0.5379
1,GLOBAL,1,10,SMOTEENN,RandomForest,2542,758,2010-08-17,2013-10-21,0.2959,0.5475,0.5463,0.1974,0.5874
1,GLOBAL,1,10,SMOTEENN,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.2706,0.529,0.5281,0.2339,0.5398
1,GLOBAL,1,10,SMOTEENN,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,11,SMOTE,XGBoost,2542,758,2010-08-17,2013-10-21,0.3213,0.5699,0.5632,0.3453,0.5646
1,GLOBAL,1,11,SMOTE,LightGBM,2542,758,2010-08-17,2013-10-21,0.3027,0.5475,0.543,0.3636,0.5038
1,GLOBAL,1,11,SMOTE,RandomForest,2542,758,2010-08-17,2013-10-21,0.3235,0.5818,0.5748,0.2731,0.5893
1,GLOBAL,1,11,SMOTE,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.3027,0.5501,0.5441,0.3235,0.5427
1,GLOBAL,1,11,SMOTE,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,11,BorderlineSMOTE,XGBoost,2542,758,2010-08-17,2013-10-21,0.3216,0.5686,0.5656,0.3916,0.5575
1,GLOBAL,1,11,BorderlineSMOTE,LightGBM,2542,758,2010-08-17,2013-10-21,0.3126,0.5607,0.5572,0.3604,0.5282
1,GLOBAL,1,11,BorderlineSMOTE,RandomForest,2542,758,2010-08-17,2013-10-21,0.3207,0.5726,0.5667,0.2661,0.5833
1,GLOBAL,1,11,BorderlineSMOTE,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.3179,0.566,0.5633,0.3394,0.5363
1,GLOBAL,1,11,BorderlineSMOTE,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,11,ADASYN,XGBoost,2542,758,2010-08-17,2013-10-21,0.3209,0.5633,0.541,0.3418,0.557
1,GLOBAL,1,11,ADASYN,LightGBM,2542,758,2010-08-17,2013-10-21,0.29,0.529,0.5246,0.2782,0.4987
1,GLOBAL,1,11,ADASYN,RandomForest,2542,758,2010-08-17,2013-10-21,0.3236,0.562,0.5496,0.3218,0.5935
1,GLOBAL,1,11,ADASYN,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.3022,0.5633,0.5463,0.3191,0.5412
1,GLOBAL,1,11,ADASYN,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,11,SMOTETomek,XGBoost,2542,758,2010-08-17,2013-10-21,0.3022,0.5343,0.5299,0.3443,0.5436
1,GLOBAL,1,11,SMOTETomek,LightGBM,2542,758,2010-08-17,2013-10-21,0.2968,0.5462,0.5397,0.2996,0.5303
1,GLOBAL,1,11,SMOTETomek,RandomForest,2542,758,2010-08-17,2013-10-21,0.3234,0.5765,0.5676,0.2742,0.5915
1,GLOBAL,1,11,SMOTETomek,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.3141,0.5567,0.5517,0.3383,0.53
1,GLOBAL,1,11,SMOTETomek,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,11,SMOTEENN,XGBoost,2542,758,2010-08-17,2013-10-21,0.2474,0.5528,0.543,0.1992,0.5147
1,GLOBAL,1,11,SMOTEENN,LightGBM,2542,758,2010-08-17,2013-10-21,0.2439,0.5237,0.519,0.2372,0.5117
1,GLOBAL,1,11,SMOTEENN,RandomForest,2542,758,2010-08-17,2013-10-21,0.2634,0.5435,0.5408,0.2066,0.551
1,GLOBAL,1,11,SMOTEENN,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.2397,0.5409,0.5291,0.2114,0.4905
1,GLOBAL,1,11,SMOTEENN,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,12,SMOTE,XGBoost,2542,758,2010-08-17,2013-10-21,0.3053,0.5699,0.5664,0.31,0.5686
1,GLOBAL,1,12,SMOTE,LightGBM,2542,758,2010-08-17,2013-10-21,0.306,0.5726,0.5677,0.293,0.5114
1,GLOBAL,1,12,SMOTE,RandomForest,2542,758,2010-08-17,2013-10-21,0.3139,0.5726,0.5664,0.2857,0.5926
1,GLOBAL,1,12,SMOTE,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.3275,0.5699,0.5662,0.3579,0.5519
1,GLOBAL,1,12,SMOTE,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,12,BorderlineSMOTE,XGBoost,2542,758,2010-08-17,2013-10-21,0.3085,0.5541,0.55,0.3357,0.536
1,GLOBAL,1,12,BorderlineSMOTE,LightGBM,2542,758,2010-08-17,2013-10-21,0.3018,0.5396,0.5357,0.3127,0.5091
1,GLOBAL,1,12,BorderlineSMOTE,RandomForest,2542,758,2010-08-17,2013-10-21,0.3071,0.5594,0.5558,0.2823,0.5841
1,GLOBAL,1,12,BorderlineSMOTE,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.3181,0.5594,0.5566,0.3015,0.522
1,GLOBAL,1,12,BorderlineSMOTE,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,12,ADASYN,XGBoost,2542,758,2010-08-17,2013-10-21,0.3073,0.5712,0.5488,0.3321,0.5179
1,GLOBAL,1,12,ADASYN,LightGBM,2542,758,2010-08-17,2013-10-21,0.3108,0.5528,0.5473,0.2932,0.5464
1,GLOBAL,1,12,ADASYN,RandomForest,2542,758,2010-08-17,2013-10-21,0.3108,0.566,0.5593,0.2835,0.5967
1,GLOBAL,1,12,ADASYN,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.3028,0.5594,0.5429,0.3369,0.5116
1,GLOBAL,1,12,ADASYN,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,12,SMOTETomek,XGBoost,2542,758,2010-08-17,2013-10-21,0.3221,0.5515,0.5502,0.386,0.5678
1,GLOBAL,1,12,SMOTETomek,LightGBM,2542,758,2010-08-17,2013-10-21,0.3148,0.5541,0.5498,0.3321,0.5482
1,GLOBAL,1,12,SMOTETomek,RandomForest,2542,758,2010-08-17,2013-10-21,0.3112,0.566,0.5596,0.2353,0.5986
1,GLOBAL,1,12,SMOTETomek,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.3134,0.5567,0.5556,0.3649,0.5179
